company,description,experience,location,salary,technologies,title
CodeIT,"<div class=""b-typo vacancy-section"">
				<p><b>Project Overview<br><br></b>The role is within our platform for supporting the collection and processing of our commercial data/revenue data. The tool that does this is called Affrobot. Largely this data is collected via Web and API scraping and we do this for 583 affiliate accounts we have with our partners. Historically these account scrappers were all written in PHP, we now have a micro service called Convoy that is written in Python. However, not all scrapers have been migrated to Convoy yet. The project is Casino related.</p><p><strong>Required skills</strong></p><ul><li><strong>Proficiency experience in Python (1+ year of commercial experience) </strong></li><li>Knowledge OOP, REST API, HTML, GitHub</li><li><strong>Commercial experience with Playwright or similar frameworks for browser automation</strong></li><li>Familiarity with RabbitMQ for message queuing</li><li>Strong knowledge of PostgreSQL </li><li>Experience with cloud services, preferably AWS</li><li>Competency in Docker</li><li>Understanding of CI/CD processes and tools like Git</li><li>Being comfortable working in Agile environments, utilizing both Scrum and Kanban methodologies</li><li>Strong internet connection required for remote development on Azure virtual desktops</li><li>Familiarity with the best practices of storing and processing sensitive data securely</li><li><strong>Upper-Intermediate or higher level of English</strong></li><li>Confidence working independently on tasks whilst also knowing when to ask for help</li></ul><p><strong>Would be a plus</strong></p><ul><li>Experience with Docker, Airflow, Postman</li><li>Experience in web scraping or automation and knowledge of headless browsers</li></ul><p><b>Responsibilities</b></p><ul><li>Maintain and enhance existing scrapers</li><li>Develop new scrapers</li><li>Triage / refine defects that arise in our data pipelines</li><li>Work with RabbitMQ and PostgreSQL to manage and process data efficiently</li><li>Collaborate with the team using Agile methodologies, primarily Scrum and Kanban</li><li>Maintain and enhance CI/CD to ensure smooth and reliable code deployments</li></ul><p><b>Project Stack</b></p><ul><li>Python</li><li>Playwright</li><li>RabbitMQ</li><li>PostgreSQL</li><li>AWS</li><li>Docker</li><li>Airflow</li><li>Git</li></ul><p><b>Development Processes</b></p><ul><li>Scrum for planned/project work</li><li>Kanban for unplanned work (e.g., ad-hoc scraper fixes)</li><li>CI/CD is in place</li></ul><p><b>Environment</b></p><ul><li>Local development will be done on an Azure remote virtual desktop, requiring a fast internet connection due to the handling of sensitive company revenue data</li><li>This remote desktop will include all necessary tools, IDEs, local development environments, etc</li></ul>
			</div>",1-3,"Харків,Вінниця,віддалено",,"python,rest api,rabbitmq,docker,aws,postgresql,ci/cd,git,agile",Junior Python Software Engineer
Pecode,"<div class=""b-typo vacancy-section"">
				<p>Привіт, друже! 😎<br>Ми раді, що ти цікавишся нашою компанією! У <strong>Pecode</strong> ми створюємо унікальну атмосферу, де кожен має можливість зростати та розвиватися. Зараз ми шукаємо нового колегу на позицію Python розробника. Якщо ти маєш досвід і бажання розвиватися разом з нами — ця вакансія для тебе!</p><h3>Тобі варто відгукнутися, якщо:</h3><ul><li>Ти маєш не менше 2 років досвіду роботи з Python.</li><li>Володієш англійською та українською на рівні B2 і вище.</li><li>Бажаєш працювати в команді професіоналів і розвиватися в IT сфері.</li></ul><h3>Твої навички:</h3><h3>Core Knowledge:</h3><ul><li>Python: Впевнено володієш синтаксисом Python, знаєш структури даних (списки, словники, множини) та об’єктно-орієнтоване програмування (ООП).</li><li>Web Development: Добре розумієш принципи веб-розробки, включаючи HTTP, RESTful API, і базову архітектуру клієнт-сервер.</li><li>Database Knowledge: Вмієш працювати з SQL, розумієш концепції реляційних баз даних і знайомий з базовими операціями.</li></ul><h3>Frameworks:</h3><ul><li>Django або Flask: Впевнено використовуєш Django або Flask для створення та управління веб-застосунками. Вмієш створювати базові CRUD-застосунки та розумієш фундаментальні концепції цих фреймворків.</li></ul><h3>Databases:</h3><ul><li>CRUD Operations: Вмієш виконувати базові Create, Read, Update, Delete (CRUD) операції.</li><li>Relational Databases: Маєш міцні знання про системи управління реляційними базами даних (RDBMS) як PostgreSQL або MySQL.</li><li>ORMs: Знайомий з Object-Relational Mappers (ORMs) як Django ORM або SQLAlchemy.</li></ul><h3>Architecture and API Development:</h3><ul><li>RESTful API Principles: Добре розумієш дизайн і принципи RESTful API.</li><li>Basic CRUD API Development: Вмієш створювати та управляти базовими CRUD операціями через RESTful API.</li></ul><h3>Security:</h3><ul><li>Basic Web Security: Знаєш базові принципи веб-безпеки, включаючи захист від SQL ін’єкцій і Cross-Site Scripting (XSS).</li></ul><h3>DevOps:</h3><ul><li>Docker: Маєш базові знання про Docker і контейнеризацію.</li><li>CI/CD: Розумієш основи процесів Continuous Integration/Continuous Deployment (CI/CD) і інструментів.</li></ul><h3>Що ми пропонуємо:</h3><ul><li>Професійний ріст: Широкі можливості для твого професійного та особистого розвитку.</li><li>Свобода: Можливість вносити та реалізовувати креативні ідеї.</li><li>Розвиток: Регулярні «майстер-класи» від наших експертів та зовнішні навчання.</li><li>Атмосфера: Дружня робоча атмосфера, яка допоможе тобі швидше досягати успіху.<br><br></li></ul><p>Чекаємо на твоє резюме! 🎉</p>
			</div>",1-3,"Львів,віддалено",1300–2500,"python,docker,django,flask,sqlalchemy,postgresql,ci/cd,mysql",Python Developer
UKEESS Software House,"<div class=""b-typo vacancy-section"">
				<p>Team of UKEESS Software House is currently looking for a <b>Strong Junior DevOps Engineer (with Python) </b>to join our team for a full-time position (<em>remotely in Ukraine or in Lviv’s office</em>).</p><p><b>About the Customer:</b></p><p>Our customer is the world’s largest DNA network from the USA. With more than 30 billion digitized global historical records, 130 million family trees, and 18+ million people in their growing database, our customers help people discover their family stories and gain actionable insights about their health and wellness. </p><p><b>About the Project and Team:</b></p><p>You will join the Science Engineering team working on DNA research projects. This team builds a high-impact feature from scratch. Our team will work on building a DNA-only pedigree showing the relationships between people. We have more than 1 trillion DNA relationships in our database, and we will work to get the data into the right places to infer how people are related to each other. We will build this system with machine learning, data engineering, and smart data storage.</p><p><b>Responsibilities include</b><b>:</b></p><ul><li>Work with various AWS services, create new services using Terraform, configure communication between the services and application</li><li>Work on and guide microservice REST API design, communicating and aggregating data from different microservices</li><li>Working with enterprise tools engineer to deploy the data pipelines</li><li>Evaluate large datasets, address and resolve reconcilable discrepancies through data analysis, and find opportunities for continuous data improvement.</li><li>Identify automation opportunities within current analytics processes and work closely with the architecture team to implement the solution.</li></ul><p><b>Required skills:</b></p><ul><li>2+ years of professional experience in a DevOps role</li><li>Good knowledge and commercial experience with the Amazon Web Services ecosystem (IAM, EC2, SQS, SNS, S3, Lambda, Secret Manager)</li><li>Strong knowledge and commercial experience with Python and Django</li><li>Strong knowledge and experience with Terraform</li><li>Commercial experience with Docker and Kubernetes</li><li>Experience development &amp; maintenance of CI/CD pipelines</li><li>Commercial experience with relational databases (MySQL is preferable)</li><li>Experience in data mining, large-scale data acquisition, auditing, transformation, and cleaning, both structured and unstructured data</li><li>English: Upper-intermediate level at least (both spoken and written)</li></ul><p><b>Strong knowledge or commercial experience with the following technologies will be a plus:</b></p><ul><li>Spark and Airflow</li><li>Nextflow</li><li>FSx for Lustre</li></ul><p><b>What do we offer our new colleague?</b></p><ul><li>Competitive compensation (based on market data but also depending on the technical level of the candidate)</li><li>Flexible work schedule</li><li>3 health packages to choose</li><li>Annual paid vacation and state holiday celebration</li><li>Free English classes (online)</li><li>Individual approach to professional growth</li><li>Lack of bureaucracy and micromanagement</li><li>Modern, comfortable office facilities (a barbecue zone, kitchens, lounge rooms, coffee machines, etc.)</li><li>Foreign business trips</li><li>On-site parking lot and charge station for Electric Cars</li><li>Corporate gifts, celebrations, and fun activities</li><li>Sports activities: ping-pong, soccer, work-out</li></ul><p>Suppose you have a passion for solving challenging problems, building scalable, robust systems, love working with the latest technologies in a fast-paced, flexible environment, and are excited at the prospect of having a significant impact on products with more than 3 million paying subscribers. In that case, we want to talk to you! ;-)</p>
			</div>",1-3,"Львів,віддалено",,"python,rest api,docker,django,aws,kubernetes,ci/cd,git,scala,microservices,mysql",Strong Junior DevOps Engineer (with Python)
Sprinterra,"<div class=""b-typo vacancy-section"">
				<p>Sprinterra invites you to be a part of our friendly and intelligent team. We develop various and diverse projects and have expertise in many technologies. We create environment for growth and development of your skills and knowledge area.</p><p><b>Job Description:</b> <br>We are looking for an experienced Python Developer to join the Fintech project.<br>Our project is a financial planning platform designed to help businesses manage their budgets and cash flow effectively. This solution allows companies to connect their bank accounts and payment systems, import and categorise transactions, analyse revenue and expense patterns, manage invoices, plan short- and long-term business strategies, consolidate financial data and prepare reporting for banks and other interested parties.<br>The developer will work closely with our team to design, develop, and maintain scalable and high-performance solutions for the project.<br>The ideal candidate should have strong Python development skills, experience working with RESTful APIs, and a solid understanding of cloud environments.</p><p><b>Project Technologies and Tools:</b></p><ul><li>Development process is managed in accordance with Agile (Scrum) methodologies.</li><li>Technologies used: Python/Django for BE and Angular for FE.</li></ul><p><b>Key Responsibilities:</b></p><ul><li>Design, develop, and maintain Python-based solutions.</li><li>Collaborate with the team to ensure seamless integration and optimal performance.</li><li>Write clean, efficient, and well-documented code.</li><li>Participate in code reviews and contribute to a culture of quality and continuous improvement.</li><li>Optimize applications for performance and scalability.</li><li>Troubleshoot and resolve issues in production environments.</li></ul><p><b>Requirements:</b></p><ul><li>3+ years experience in Python (preferably Django).</li><li>Experience working with RESTful APIs and microservices architecture.</li><li>Familiarity with cloud platforms (AWS, GCP or Azure) and containerization (Docker, Kubernetes).</li><li>Solid understanding of databases (SQL, NoSQL) and data modeling.</li><li>Experience with version control (Git or Bitbucket) and CI/CD pipelines.</li><li>Strong communication skills.</li><li>Good communication level of English.</li></ul>
			</div>",1-3,віддалено,,"python,docker,django,nosql,aws,kubernetes,ci/cd,git,scala,microservices,agile",Python Developer
Aimedat,"<div class=""b-typo vacancy-section"">
				<p>Український MilTech стартап <strong>Aimedat </strong>— це інноваційні рішення для FPV-дронів із застосуванням штучного інтелекту. Наша мета — створити комплексне рішення для FPV-дронів, яке включатиме код, документацію та налаштування прошивки, і надати його всім авторизованим виробникам. Це охоплює як розробку віртуального середовища для тренування ШІ й навчання власної моделі, так і створення фізичних прототипів та дронів.</p><p>Проєкт знаходиться на <nobr>4-й</nobr> стадії технологічної готовності (TRL) і активно розвивається. Ми пропонуємо можливість отримати частку в компанії для тих, хто приєднається на цьому етапі, з перспективою гідної заробітної плати після завершення фандрайзингу.</p><p>Зараз ми активно шукаємо <strong>Software Engineer</strong> для розробки програмного забезпечення, яке взаємодіє з нашими системами, використовуючи Linux, Python, MAVLink та інші технології.</p><p><strong>Основні обов’язки</strong> <br>— Оптимізація програмного забезпечення.<br>— Інтеграція і робота з MAVLink протоколом. <br>— Робота з симуляторами, такими як Airsim.</p><p><strong>Вимоги</strong> <br>— Впевнене знання Python.<br>— Досвід розробки на Linux.<br>— Досвід роботи з MAVLink протоколом.<br>— Знання micro-DDS або інших протоколів обміну даними в реальному часі.</p><p><strong>Буде плюсом</strong> <br>— Досвід роботи з системами автопілотування або симуляторами дронів. <br>— Знання C++.<br>— Досвід використання симуляторів, таких як Airsim. <br>— Досвід у розробці рішень для дронів. </p><p><strong>Ми пропонуємо<br></strong>— Участь у розробці передових miltech рішень.<br>— Можливість впливати на кінцевий продукт, який змінить правила гри в військовій сфері.<br>— Робота над реальним проєктом, що спрямовані на підсилення обороноздатності України.</p><p><strong>Спотерігати за нами:</strong> <a href=""https://t.me/iron_sich"" target=""_blank"">Telegram</a> | <a href=""https://www.tiktok.com/@zaliznasich"" target=""_blank"">TikTok</a></p>
			</div>",1-3,"Київ,віддалено",,"python,linux",Software Engineer
Poklyk,"<div class=""b-typo vacancy-section"">
				<p><strong>Poklyk</strong> is a <strong>product company</strong> specializing in developing and advancing our web and mobile applications, <a href=""https://orderry.com/"" target=""_blank"">orderry.com</a> and <a href=""http://remonline.app"" target=""_blank"">remonline.app</a>, designed for SME automation. Our services empower businesses to streamline processes and embrace a more technological approach.<br><br>We seek a highly skilled <strong>Middle Backend Engineer</strong> to bolster our team. At our organization, we employ a product engineering methodology, ensuring that our products are meticulously crafted to precisely meet the diverse business requirements of our valued users.<br><br><strong>Tech Stack: </strong>Python 3.11, Django 4, DRF, Celery, PostgreSQL, Redis, RabbitMQ, OpenAPI, Swagger, Pytest, FastAPI</p><p><strong>Requirements:</strong></p><p>— 2+ years of experience working as a Python Developer<br>— Strong programming skills in Python<br>— Understanding of the REST API model<br>— Experience with PostgreSQL, raw SQL<br>— Experience with RabbitMQ, Celery<br>— Experience with Redis<br>— Familiar with smoke/unit testing with Pytest<br>— Experience with bash<br>— Experience with Git</p><p><strong>Responsibilities:</strong></p><p>— Development of new functionality from scratch<br>— Development and description of new API methods<br>— Optimization and development of existing solutions<br>— Close interaction with development teams like QA, Frontend, DevOps<br>— Database query profiling and optimization<br>— Participants in the development of some microservice layers</p><p><strong>Would be a plus:</strong></p><p>— Experience with Docker and Docker Compose<br>— Experience with DRF or FastAPI<br>— Knowledge of relational database indexing/sharding/partitioning</p><p><strong>Working terms:</strong></p><p>— Official employment with all the accompanying benefits.<br>— Direct involvement in product development, as we discuss each improvement proposal with the entire team.<br>— The opportunity to work with one of the leading IT companies in business automation is recognized as essential to the Ukrainian economy.<br>— Flexible working arrangements, whether hybrid or fully remote.<br>— A chance to join a company recognized by programs like MasterCard Start Path Ukraine and Google for Startups.<br>— 18 vacation days, 10 days off, and paid sick leave.<br>— Access to English language courses for professional growth.<br>— Reimbursement for professional development activities, including courses, webinars, and related resources.<br><br><strong>Hiring process:</strong> <br>— Intro call with a recruiter (30 min)<br>— Pre-interview with Team Lead (30 min)<br>— Technical Interview with Team Lead and CTO (1h 30 min)<br>— Offer from Poklyk<br><br>Let’s create the future together 🚀</p>
			</div>",1-3,"Київ,за кордоном,віддалено",до 2500,"python,rest api,rabbitmq,redis,celery,docker,django,postgresql,git",Middle Backend Engineer (Python)
CHI Software,"<div class=""b-typo vacancy-section"">
				<p>The CHI Software team is not standing still. We love our job and give it one hundred percent of us! Every new project is a challenge that we face successfully. The only thing that can stop us is... Wait, it’s nothing! Now the CHI team is looking for a Middle/Senior Python Developer with Clouds AWS/Azure/GCP!</p><h3><b>Requirements:</b></h3><ul><li>At least 2+ years experience with Python language;</li><li>Experience with general Python web-frameworks: Django/Flask, Aiohttp and other;</li><li>AWS/Azure/GCP experience;</li><li>Experience with SQL and RDBMS (PostgreSQL, MySQL), NoSQL databases and Python ORMs;</li><li>Knowledge of HTTP protocol;</li><li>Knowledge of version control systems: GIT or SVN;</li><li>Understanding REST;</li><li>Experience of writing unit and integration tests;</li><li>Knowledge of CI/CD;</li><li>Ability to explore and drive new ideas and technologies, think and learn independently;</li><li>Spoken English (Intermediate and higher);</li><li>Experience with Front-End frameworks: React/Vue/Angular will be a plus. </li></ul><h3><b>Our perks </b></h3><ul><li>Covered vacation period: 20 business days and 5 days off</li><li>Free English classes</li><li>Flexible working schedule</li><li>Truly friendly and supporting atmosphere</li><li>Working remotely or in one of our offices</li><li>Medical insurance for employees from Ukraine</li><li>Compensation of psychological counseling</li><li>Legal support</li><li>Relocation assistance</li></ul>
			</div>",1-3,"Барселона (Іспанія),Краків (Польща),віддалено",,"python,aiohttp,django,nosql,vue,react,aws,flask,postgresql,ci/cd,git,mysql",Middle/Senior Python Developer (EU)
PIN-UP Global,"<div class=""b-typo vacancy-section"">
				<p><a href=""http://pin-up.tech/"" target=""_blank"">PIN-UP.TECH</a> is one of the directions of the international ecosystem PIN-UP Global, which operates in six countries — Ukraine, Poland, Kazakhstan, Cyprus, Peru, and Armenia. <a href=""http://pin-up.tech/"" target=""_blank"">PIN-UP.TECH</a> is the foundation of today’s international ecosystem of PIN-UP Global, the main products of <a href=""http://pin-up.tech/"" target=""_blank"">PIN-UP.TECH</a> are platforms for Ukraine and Kazakhstan. PIN-UP Global is an ecosystem of independent companies involved in the life cycle of various entertainment products. Ecosystem companies introduce innovative technologies, non-standard solutions for the development and scaling of products and services.</p><p><strong>We are looking for a General QA Engineer to join our team.<br></strong></p><p><strong>Requirements:<br></strong>• At least 2 years of experience as a general tester (backend, frontend, API);<br>• Deep knowledge in Quality Assurance, with a strong focus on web applications testing, including manual testing skills for comprehensive coverage of both front-end and back-end systems.<br>• Familiarity with Python, with a basic understanding of Object-Oriented Programming (OOP) principles, ensuring the development of scalable and maintainable test code.<br>• Demonstrated expertise in API testing, including REST, gRPC, and WebSocket protocols, using various manual testing tools to ensure seamless integration and service functionality.<br>• Understanding of the WebDriver concept for browser automation.<br>Knowledge of performance testing tools such as Locust, JMeter, or K6.<br>• Understanding of Continuous Integration/Continuous Deployment (CI/CD) pipelines.<br>• A Bachelor’s degree in Computer Science, Software Engineering, or a related field, or equivalent professional experience, to provide a strong technical foundation.<br>• Strong problem-solving skills and effective communication abilities to collaborate with team members and stakeholders.</p><p><strong>Responsibilities:<br></strong>• Manual Testing<br>• Bug Reporting<br>• Automated Testing<br>• Test Execution and Analysis<br>• Stakeholder Engagement and Communication<br>• Updating documentation based on received requirements</p><p><strong>Our benefits to you:<br></strong>🍀An exciting and challenging job in a fast-growing product ecosystem, the opportunity to be part of a multicultural team of top professionals in Development, Engineering and Architecture, Management, Operations, Marketing, etc;<br>🤝Great working atmosphere with passionate IT experts and leaders, sharing a friendly culture and a success-driven mindset is guaranteed;<br>📍Beautiful offices in Kyiv, Warsaw, Limassol, Almaty, Yerevan — work with comfort and enjoy the opportunity to build a network of connections with IT professionals day by day;<br>🧑‍💻Laptop &amp; all necessary equipment for work according to the ecosystem standards;<br>🏖Paid vacations, personal events days, days off;<br>🫖Paid sick leave;<br>👨‍⚕Medical insurance;<br>💵Referral program — enjoy cooperation with your colleagues and get the bonus;<br>📚Educational support by our L&amp;D team: internal and external trainings and conferences, courses on Udemy;<br>🗣Free internal English courses;<br>🤸‍♀Sport benefit;<br>🦄Multiple internal activities: online platform with newsletters, quests, gamification and presents for collecting bonuses, PIN-UP talks club for movie and books lovers, board games cozy evenings, special office days dedicated to holidays, etc;<br>🎳Company events, team buildings.<strong><br></strong><strong></strong></p>
			</div>",1-3,"Варшава (Польща),Лімасол (Кіпр)",,"python,ci/cd,scala",General QA Engineer (Python) — Warsaw/Cyprus
Дія,"<div class=""b-typo vacancy-section"">
				<p><strong>Дія</strong> — це технологічний продукт, яким захоплюється весь світ. Цифрові документи, онлайн-шлюб, продаж авто, сплата податків та сотні необхідних державних сервісів на відстані кількох кліків.</p><p>20 мільйонів користувачів, 80% задоволені послугами — нова реальність, і ви можете стати частиною всесвітньої діджитал-революції.</p><p><strong>Diia Company</strong> — перша офіційна IT-компанія Мінцифри. Наша мета — оцифрувати всі державні послуги, усунути фактор корупції та зробити сервіси зрозумілими і доступними кожному українцю.</p><p>Нас драйвить думка про те, що ця робота сьогодні докорінно змінить державу вже завтра. Ми шукаємо людей, які поділяють це відчуття. Приєднуйтеся до команди та змінюйте цю країну.</p><p><strong>Обов’язки:</strong> <br>— Рефакторинг існуючого прототипу Веб-портал/пітон частини мобільного додатку та оптимізація інфраструктури<br>— Аналіз та поліпшення продуктивності коду для забезпечення стабільної роботи під високими навантаженнями<br>— Інтеграція зі сторонніми системами та сервісами (наприклад <a href=""http://id.gov.ua"" target=""_blank"">id.gov.ua</a>)<br>— Реакція на інциденти та відновлення працездатності<br>— Взаємодія з командою DevOps та QA для налаштування CI/CD та автотестів та супутньої інфраструктури</p><p><strong>Вимоги:</strong> <br>— Досвід розробки на Python(Django/FastApi) не менше 2 років;<br>— Досвід роботи з Docker/Kubernetes<br>— Досвід роботи з СУБД (PostgreSQL, MongoDB), написання та оптимізація запитів до БД<br>— Знання стеку протоколів TCP/IP та розуміння роботи Firewall<br>— Досвід використання Git, GitHub/Gitlab, bug tracking systems<br>— Досвід асинхронного програмування<br>— Базове знання Linux<br>— Досвід роботи з SOAP та REST API сервісами<br>— Навички написання документації<br>— Повна вища освіта<br>— Знання технічної англійської мови</p><p><strong>Додатково:</strong></p><p>— Досвід роботи з RabbitMq, Redis<br>— Досвід використання Git, Jira<br><br><strong>Буде перевагою:</strong> <br>— Досвід роботи з JavaScript (Vue.js), розробка SPA<br>— Знання мов програмування Java, C#, Javascript, Python, розуміння написання сервісів та архітектури<br><br><strong>Ми пропонуємо:</strong></p><ul><li>Роботу з продуктом, яким користується вся країна та захоплюється весь світ</li><li>Конкурентну заробітну плату</li><li>Професійний розвиток та навчання</li><li>Зручний офіс у центрі міста</li><li>Забезпечення всіх комфортних умов праці: необхідна техніка для роботи, офіс з генератором, бронювання</li></ul><p>Бажаєте долучитись до цифровізації держави? Надсилайте резюме у відгуки або на пошту <a href=""/cdn-cgi/l/email-protection#fd958fbd89959899949a94899c91d39a928bd3889c""><span class=""__cf_email__"" data-cfemail=""5e362c1e2a363b3a3739372a3f3270393128702b3f"">[email protected]</span></a></p>
			</div>",1-3,Київ,,"python,rest api,mongodb,rabbitmq,redis,docker,django,linux,javascript,vue,postgresql,kubernetes,ci/cd,git",Python-розробник
Infozahyst,"<div class=""b-typo vacancy-section"">
				<p><strong>Infozahyst</strong> — приватний науково-виробничий центр, лідер у галузі радіоелектронної розвідки на території України.</p><p>Запрошуємо <strong>Middle Python Developer in QA automation</strong> приєднатись до нашої команди. </p><p><strong>Необхідні навички:</strong></p><ul><li>Комерційний досвід автоматизації мовою програмування Python від 1 року;</li><li>Знання бібліотек pytest, pyserial;</li><li>Вміння виконувати статистичну оброку даних та їх відображення (numpy, pandas, matplotlib);</li><li>Впевнений користувач Windows/ Linux;</li><li>Навички роботи з Zephyr Squad/ Zephyr Scale (або подібним);</li><li>Вміння працювати з Git;</li><li>Знання видів, етапів і методики тестування;</li><li>Рівень англійської мови від Intermediate;</li><li>Бажання навчатись і вдосконалювати свої навички;</li><li>Вміння працювати в команді, відповідальність, комунікабельність.</li></ul><p><strong>Буде плюсом:</strong></p><ul><li>Знання бібліотек PyQT/PySide;</li><li>Досвід розробки веб-застосунків;</li><li>Досвід роботи з Jira, Confluence;</li><li>Досвід роботи з послідовними інтерфейсами (UART, RS232, RS422, тощо);</li><li>Pозуміння роботи мережевих інтерфейсів;</li><li>Досвід автоматизації тестування embedded — систем;</li><li>Досвід роботи з вимірювальною технікою (аналізатор спектру, генератор частот);</li><li>Знання у напрямку радіотехніки (компонентів приймально-передавальних пристроїв, типи сигналів та їх модуляції, спектральний аналіз);</li><li>Інженерні Pet — проекти.</li></ul><p><strong>Основні задачі:</strong></p><ul><li>Розробка програмного забезпечення на мові програмування Python для автоматизації процесів тестування, роботи з вимірювальним обладнанням (осцилографом, генератором частот, тощо);</li><li>Створення графічних інтерфейсів, використовуючи бібліотеку Pytest, PyQt/ PySide;</li><li>Автоматизація керування пристроями за допомогою протоколів обміну;</li><li>Cтруктуризація проекту, оптимізація та вдосконалення існуючого коду;</li><li>Забезпечення високої якості коду та документації.</li></ul><p><strong>Ми пропонуємо:</strong></p><ul><li><strong>Можливість бронювання співробітників відповідно до чинного законодавства</strong>;</li><li>Роботу в стабільній компанії;</li><li>Комфортні умови праці та сучасну офісну інфраструктуру;</li><li>Конкурентну оплату праці;</li><li><nobr>8-годинний</nobr> робочий день в проміжку <nobr>9:00-20:00;</nobr></li><li>Компенсація професійного навчання;</li><li><nobr>24-денну</nobr> оплачувану відпустку та 100% покриття лікарняних;</li><li>Відкритість до нових ідей та підходів, здорова комунікація всередині команди;</li><li>Унікальні та цікаві проекти;</li><li>Причетність до справи, що наближає нашу перемогу!</li></ul>
			</div>",1-3,Київ,,"python,linux,pandas,numpy,git",Middle Python Developer in QA automation
